branch,sale_id,total_price,moving_avg_3
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,1,17.66,17.66
A,3,19.26,18.19
A,3,19.26,18.73
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,3,19.26,19.26
A,4,41.73,26.75
A,4,41.73,34.24
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,4,41.73,41.73
A,6,108.24,63.9
A,6,108.24,86.07
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,6,108.24,108.24
A,7,11.46,75.98
A,7,11.46,43.72
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
A,7,11.46,11.46
